FECHA;CoDIGO DE USUARIO;PRODUCTO/S  VENDIDOS CALLE 1 [PRODUCTO/S VENDIDOS ];UBICACION 1;MONTO POR CALLE 1
7/6/2023;5.2;BANANA, SANDIA, PINA, MELoN;Calle CoNstaNtiNo MeNdoza Moreira;$10 a $15 dolares
8/6/2023;5.2;PERAS, MANZANAS, FRESAS, BANANA, SANDIA;Calle CoNstaNtiNo MeNdoza Moreira;$10 a $15 dolares
9/6/2023;5.2;PERAS, FRESAS, BANANA, SANDIA, PINA, MELoN;Calle CoNstaNtiNo MeNdoza Moreira;$15 a $20 dolares
10/6/2023;5.2;PERAS, PINA, MELoN, UVAS;Calle CoNstaNtiNo MeNdoza Moreira;$10 a $15 dolares
11/6/2023;5.2;FRESAS, BANANA, SANDIA, PINA, MELoN;Calle CoNstaNtiNo MeNdoza Moreira;$10 a $15 dolares
5/6/2023;6.1;MANZANAS, BANANA, MELoN, UVAS;Av. Ramos Iduarte;$5 a $10 dolares
6/6/2023;6.1;PERAS, FRESAS, BANANA, SANDIA, PINA;Av. Ramos Iduarte;$10 a $15 dolares
7/6/2023;6.1;BANANA, SANDIA, PINA, MELoN, UVAS;Av. Ramos Iduarte;$10 a $15 dolares
8/6/2023;6.1;MANZANAS, BANANA, SANDIA, MELoN, UVAS;Av. Ramos Iduarte;$5 a $10 dolares
9/6/2023;6.1;PERAS, MANZANAS;Av. Ramos Iduarte;$5 a $10 dolares
10/6/2023;6.1;MANZANAS, FRESAS, SANDIA, PINA, MELoN, UVAS;Av. Ramos Iduarte;$10 a $15 dolares
11/6/2023;6.1;PERAS, MANZANAS, FRESAS, SANDIA, UVAS;Av. Ramos Iduarte;$10 a $15 dolares
5/6/2023;7.2;PERAS, MANZANAS, FRESAS, PINA, UVAS;Cordova;$10 a $15 dolares
6/6/2023;7.2;PERAS, MANZANAS, FRESAS, BANANA, PINA, UVAS;Cordova;$5 a $10 dolares
7/6/2023;7.2;PERAS, MANZANAS, FRESAS, BANANA, PINA, UVAS;Cordova;$15 a $20 dolares
8/6/2023;7.2;PERAS, MANZANAS, FRESAS, BANANA, PINA, UVAS;Cordova;$5 a $10 dolares
