Country Name;PIB per cápita-2015;PIB per cápita -2020;PIB per cápita-2022;Crecimiento de la población -2015;Crecimiento de la población -2020;Crecimiento de la población-2022;Desempleo-2015;Desempleo-2020;Desempleo-2022;Inflación, precios al consumidor (% anual)-2015;Inflación, precios al consumidor-2020;Inflación, precios al consumidor-2022
Hungría;3552282,184;4966633,946;6879314,566;-0,237855002;-0,215067837;-0,272113417;6,81;4,25;3,423;-0,06164468;3,326743858;14,60814395
India;104106,3012;142008,8074;191957,9596;1,18779532;0,955220858;0,680372581;7,915;10,195;7,33;4,906973441;6,623436776;6,699034141
Indonesia;44487418,12;56806696,53;71101090,37;1,110854932;0,840389268;0,636555115;4,51;4,25;3,554;6,363121131;1,920968006;4,209463834
Irán;147985886,2;467307671,8;1136382399;2,261784926;0,835176148;0,710745643;11,17;9,69;10,964;12,48468156;30,59413904;
Iraq;5156044,705;5067594,005;8608933,426;2,71497647;2,362111839;2,186916934;10,729;16,23;15,547;1,393330288;0,574162679;4,994765964
Irlanda;55929,03423;74785,92353;98797,85445;0,944845307;1,029110503;1,0636896;9,91;5,62;4,362;-0,289879079;-0,334584625;7,80737541
Islandia;6985317,434;7964665,055;9862307,984;1,041940387;1,623086251;2,486806658;3,98;5,48;3,809;1,633055582;2,847924015;8,308755116
Islas Marshall;3703,649059;5567,972727;6727,799562;-2,021525531;-2,98407683;-1,150468925;;;;;;
Islas Salomón;16896,32096;18253,99926;17978,02762;2,52650759;2,371387612;2,293477357;0,733;0,892;1,543;-0,574469286;2,963549921;5,518129286
Israel;140728,7174;154380,8578;183635,6966;1,981288976;1,763679392;1,965667853;5,25;4,33;3,476;-0,601291007;-0,614412358;4,393596659
Italia;27257,35446;27945,02034;32437,23878;-0,096376133;-0,487095092;-0,428632459;11,9;9,16;8,094;0,0387904;-0,137707574;8,201289912
Jamaica;593920,0807;697384,376;927805,1707;0,354975146;0,236519558;-0,011246541;8,842;6,5;6,049;3,691542289;5,226777793;10,34956884
Japón;4231776,532;4269587,6;4446651,34;-0,106124994;-0,294194618;-0,443851919;3,39;2,8;2,641;0,795279631;-0,024995834;2,497702782
Jordania;2885,619637;2831,231624;2985,199004;9,219917888;2,127362818;1,226636566;13,08;19,21;17,874;-0,87685136;0,333294351;4,229155689
Kazajstán;2330535,583;3766810,158;5173943,97;1,461484685;1,298635325;3,215898096;4,93;4,89;5,008;6,665776115;6,771545828;
Kenya;146939,1324;206115,4031;247435,9024;2,20032212;2,009700111;1,909510311;2,774;5,616;5,502;6,582174403;5,404814672;7,656874561
Kirguistán;72267,35382;91463,44169;135146,8552;2,059025966;1,897863823;1,652489234;3,378;4,63;4,567;6,50331839;6,325422963;13,92290932
Kiribati;1942,251964;2040,122407;2453,669837;1,486483528;1,772654752;1,813156636;;;;0,572015744;;
Kuwait;8819,536102;7440,760872;13240,26271;3,837569365;-1,832820647;0,440405187;2,2;3,331;2,482;3,271701661;2,101729548;
Lesotho;14211,77288;15463,39945;18114,68641;1,104914388;1,267840873;1,062557097;16,852;18,461;18,039;3,218445137;4,978096763;8,271803899
Letonia;12425,6842;15940,46723;20750,32853;-0,818626341;-0,701211571;-0,058972328;9,87;8,1;6,429;0,174242244;0,219064905;17,31028302
Líbano;11762647,69;20652643,34;;1,966373269;-2,079336906;-1,856912493;9,263;12,971;12,635;-3,749145248;84,86433305;
Liberia;699,6629469;597,5296919;754,5328769;2,035413638;2,031168603;2,082087222;2,577;3,842;3,634;7,748696876;;
Libia;10866,6903;9768,7957;32325,74529;1,537394116;1,283445092;1,137688282;19,521;20,343;20,68;;;
Liechtenstein;161496,453;155175,9728;;0,695762434;0,709498302;0,735015942;;;;;;
Lituania;12856,06026;17828,74608;23576,11048;-0,940753797;0,026766758;1,141720569;9,12;8,49;5,569;-0,884097406;1,19989445;19,70504615
Luxemburgo;95052,53474;102758,6209;120057,218;2,359951181;1,666358674;1,659425236;6,67;6,77;4,698;0,474743161;0,819957302;6,336008078
Macedonia del Norte;269996,6091;322928,9105;386259,573;0,133165885;-0,200664047;-0,359612891;26,43;16,55;15,081;-0,299920476;1,200073489;14,20471732
Madagascar;1336617,971;1751473,494;2068684,198;2,588187143;2,482422893;2,37869515;1,79;2,363;2,142;7,404191742;4,201793122;8,16059032
Malasia;37881,73141;42710,86274;52689,36737;1,499409724;1,199859622;1,079363741;3,1;4,54;3,73;2,104389802;-1,138702154;3,378698625
Malawi;271923,9004;466344,4575;612280,76;2,759113701;2,665771783;2,559138271;4,987;5,681;5,614;21,86734755;8,625514697;20,95396973
Maldivas;144970,7616;112012,1406;181831,8092;4,422534092;1,949134572;0,445829655;6,618;5,34;4,883;0,953206659;-1,369774256;2,333143376
Malí;427744,1495;473653,2558;519777,2467;3,146747167;3,142603659;3,095209254;1,361;3,53;2,762;1,450690576;0,43808894;
Malta;22461,81915;25562,14079;32231,13194;2,386395363;2,211207678;0,93690132;5,38;4,35;2,813;1,100548264;0,638544957;6,153756219
Marruecos;30652,51758;30941,72656;35846,21875;1,253058273;1,053160179;1,023391979;9,46;11,114;10,494;1,557907113;0,705968661;6,657042028
Mauricio;333314,5931;354337,3138;451384,252;0,13240433;0,00229068;-0,301401217;7,41;8,63;7,234;1,286549708;2,580800772;10,77375122
Mauritania;50737,31318;69486,7771;80875,17484;2,645957102;2,58400208;2,591601268;10,152;11,137;11,109;3,254726881;2,385694885;9,525266286
