Country Name;Country Code;Continent;2022 Population;2020 Population;2015 Population;2010 Population;2000 Population;1990 Population;1980 Population;1970 Population;Area (kmÂ²);Density (per kmÂ²);Growth Rate;World Population Percentage;Indicator Name;Indicator Code;1970;1980;1990;2000;2010;2015;2020;2022
México;MEX;Norteamérica;127504125;125998302;120149897;112532401;97873442;81720428;67705186;50289306;1964375;64,9082;1,0063;1,6;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;316.714.192.168.044;643.845.983.465.458;326.238.381.460.151;329.269.240.921.286;373.285.194.759.218;209.471.782.379.221;-865.463.726.096.949;
Islas Marshall;MHL;Oceania;41569;43413;49410;53416;54224;46047;31988;23969;181;229,663;0,9886;0;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;0.314873410711897;0.625101334163418;577.095.038.647.522;419.631.618.999.699;113.166.736.109.294;
Macedonia del Norte;MKD;Europa;2093599;2111072;2107962;2093828;2037936;2044174;1907023;1656783;25713;81,4218;0,9954;0,03;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;407.405.080.631.071;314.081.772.112.786;371.765.660.257.569;-592.229.586.311.112;
Malí;MLI;Africa;22593590;21224040;18112907;15529181;11239101;8945026;7372581;6153587;1240192;18,2178;1,0314;0,28;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;455.319.345.537.559;-633.081.602.165.872;-436.518.797.487.174;-292.505.022.967.933;194.651.923.125.954;288.286.060.712.548;-429.096.596.011.043;
Malta;MLT;Europa;533286;515357;456579;418755;399212;365392;333587;315414;316;1.687,61;1,0124;0,01;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;593.304.998.185.818;525.659.773.465.001;189.120.097.847.943;50.264.285.995.582;702.341.134.136.087;-103.291.758.603.665;
Myanmar;MMR;Asia;54179306;53423198;51483949;49390988;45538332;40099553;33465781;27284112;676578;80,0784;1,0071;0,68;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;176.484.310.982.599;455.314.279.675.704;167.717.774.603.464;111.920.231.905.546;923.324.870.156.222;245.178.052.054.527;243.413.108.735.948;
Montenegro;MNE;Europa;627082;629048;633966;631044;633324;621442;589324;530268;13812;45,4012;0,9988;0,01;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;327.911.916.013.552;254.625.315.972.683;333.238.457.780.671;-152.084.745.840.286;
Mongolia;MNG;Asia;3398366;3294335;2964749;2702520;2450979;2161433;1697780;1293880;1564110;2,1727;1,0151;0,04;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;-500.338.560.461.574;0.21791216782357;495.587.799.983.788;0.241383711192753;-635.124.060.282.349;
Mozambique;MOZ;Africa;32969517;31178239;26843246;23073723;17768505;13303459;11413587;8411676;801590;41,1302;1,0278;0,41;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;-0.638780468752614;-127.175.984.777.314;35.618.346.482.549;352.458.365.397.493;-406.161.389.110.071;
Mauritania;MRT;Africa;4736139;4498604;3946220;3419461;2695003;2006027;1506694;1122198;1030700;4,5951;1,0263;0,06;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;86.562.847.075.618;0.408718261627854;-426.797.406.751.385;-65.702.419.319.765;-0.286151376294598;262.469.075.992.307;-346.547.797.671.441;
Mauricio;MUS;Africa;1299469;1297828;1293153;1283330;1215930;1090290;954865;830115;2040;636,9946;1,0004;0,02;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;-115.649.251.331.056;64.259.440.372.149;714.471.598.141.746;412.919.884.822.152;355.332.719.164.181;-145.993.551.322.578;
Malawi;MWI;Africa;20405317;19377061;16938942;14718422;11229387;9539665;6267369;4625141;118484;172,22;1,0259;0,26;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;-195.993.913.480.447;-340.981.501.716.432;165.091.796.321.126;-0.734438234214323;382.804.603.980.648;0.00240303089739768;-18.515.997.803.496;
Malasia;MYS;Asia;33938221;33199993;31068833;28717731;22945150;17517054;13215707;10306508;330803;102,5934;1,0109;0,43;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;346.890.139.240.867;467.201.653.639.486;591.625.281.875.723;612.379.809.146.435;555.251.852.182.685;352.753.443.643.488;-666.113.732.168.874;
Namibia;NAM;Africa;2567012;2489098;2282704;2099271;1819141;1369011;975994;754467;825615;3,1092;1,0146;0,03;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;-398.596.379.080.981;116.740.228.237.646;445.558.422.162.708;245.071.096.914.901;-960.474.595.132.635;
Nueva Caledonia;NCL;Oceania;289950;286403;283032;261426;221537;177264;148599;110982;18575;15,6097;1,0075;0;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;216.421.976.082.354;-150.231.521.241.085;117.457.101.710.015;0.17714284157276;;;;
Níger;NER;Africa;26207977;24333639;20128124;16647543;11622665;8370647;6173177;4669708;1267000;20,6851;1,0378;0,33;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;0.259305775070118;-539.451.112.648.064;-430.994.206.129.168;-453.360.569.932.079;460.206.704.821.289;0.471154424128144;-0.238156789192942;
Nigeria;NGA;Africa;218541212;208327405;183995785;160952853;122851984;95214257;72951439;55569264;923768;236,5759;1,0241;2,74;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;222.885.987.245.227;106.070.405.637.158;887.700.003.585.374;23.177.748.986.686;508.187.485.400.296;0.0769616167127936;-416.205.929.039.309;
Nicaragua;NIC;Norteamérica;6948392;6755895;6298598;5855734;5123222;4227820;3303309;2444767;130373;53,2962;1,0143;0,09;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;-18.853.275.620.433;179.327.510.540.507;-237.808.014.922.447;261.127.280.795.196;28.923.739.181.472;32.959.918.748.404;-312.695.213.910.604;
Países Bajos;NLD;Europa;17564014;17434557;17041107;16617116;15899135;14944548;14130387;13037686;41850;419,6897;1,0036;0,22;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;483.328.874.919.525;0.543128027064171;346.827.772.475.396;345.353.825.605.781;0.824259852819907;150.826.618.391.271;-441.855.550.924.734;
Noruega;NOR;Europa;5434319;5379839;5190356;4889741;4491202;4241636;4085776;3875546;323802;16,7828;1,0058;0,07;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;120.535.000.670.894;422.929.886.542.049;158.222.091.643.037;253.730.175.628.031;-0.544794329896789;0.95750076290291;-130.000.015.394.134;
Nepal;NPL;Asia;30547580;29348627;27610325;27161567;24559500;19616530;15600442;12501285;147181;207,5511;1,0171;0,38;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;0.365411325389161;-458.525.707.386.625;212.029.486.150.485;439.965.280.411.829;429.689.327.604.454;341.788.430.493.808;-408.656.858.925.306;
Nauru;NRU;Oceania;12668;12315;11185;10241;10377;9598;7635;6663;21;603,2381;1,0125;0;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;;110.243.140.318.328;143.214.291.627.345;-0.35364778025118;
Nueva Zelandia;NZL;Oceania;5185288;5061133;4590590;4346338;3855266;3397389;3147168;2824061;270467;19,1716;1,0108;0,07;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;115.703.628.749.763;-0.767406967462776;230.227.983.651.994;0.40146083057779;165.342.048.250.024;-340.600.904.186.589;
Omán;OMN;Asia;4576298;4543399;4191776;2881914;2344253;1804524;1017462;670693;309500;14,7861;1,0123;0,06;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;109.912.251.480.222;0.396232118995684;-514.935.162.191.476;511.237.365.525.272;-479.339.813.916.209;0.444638517235134;-211.716.850.954.581;
Pakistán;PAK;Asia;235824862;227196741;210969298;194454498;154369924;115414069;80624057;59290872;881912;267,4018;1,0191;2,96;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;832.210.222.165.277;581.834.880.832.284;107.026.649.113.786;110.232.212.708.917;-0.656496930742478;338.201.895.160.893;-297.029.464.978.425;
Panamá;PAN;Norteamérica;4408581;4294396;3957099;3623617;3001731;2449968;1956987;1516188;75417;58,4561;1,0132;0,06;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;398.061.171.172.867;104.741.602.025.663;582.963.458.665.719;0.709781117148083;395.086.673.010.184;390.792.886.782.761;-191.269.590.384.661;
Perú;PER;América del Sur;34049588;33304756;30711863;29229572;26654439;22109099;17492406;13562371;1285216;26,4933;1,0099;0,43;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;0.708838592901245;331.951.808.555.048;-706.601.854.240.201;114.477.299.247.883;751.616.967.333.678;204.895.673.228.597;-122.357.995.967.366;
Filipinas;PHL;Asia;115559009;112190977;103031365;94636700;77958223;61558898;48419546;37435586;342353;337,5434;1,0147;1,45;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;103.777.976.841.828;245.157.475.845.419;0.685480244973476;209.401.888.916.523;541.803.030.350.513;45.872.182.520.117;-10.978.194.139.332;
Palau;PLW;Oceania;18055;17972;17794;18540;19726;15293;12252;11366;459;39,3355;1,0017;0;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;;176.203.754.515.501;755.115.034.053.378;-939.042.502.432.173;
Papua Nueva Guinea;PNG;Oceania;10142619;9749640;8682174;7583269;5508297;3864972;3104788;2489059;462840;21,9139;1,0194;0,13;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;825.384.818.386.992;-428.224.819.723.116;-554.315.589.190.692;-580.341.296.798.611;686.989.732.080.856;390.203.126.621.873;-522.481.758.623.621;
Polonia;POL;Europa;39857145;38428366;38553146;38597353;38504431;38064255;35521429;32482943;312679;127,4698;1,0404;0,5;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;565.867.459.519.393;322.904.912.851.982;445.288.399.815.828;-184.839.482.693.985;
Puerto Rico;PRI;Norteamérica;3252407;3271564;3497335;3717922;3827108;3543776;3214568;2737619;8870;366,675;0,9989;0,04;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;704.792.915.967.258;301.075.218.735.778;-370.170.811.331.964;298.675.151.003.449;0.0921020717791237;0.706704568897791;-691.380.431.087.585;
Corea;PRK;Asia;26069416;25867467;25258015;24686435;23367059;20799523;17973650;14996879;120538;216,2755;1,0038;0,33;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;;;;;
Portugal;PRT;Europa;10270865;10298192;10365435;10588401;10300626;10007346;9785252;8683631;92090;111,5307;0,9981;0,13;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;13.615.093.296.247;346.437.111.345.503;417.732.841.718.288;308.905.404.795.144;169.092.841.483.231;22.144.828.853.083;-839.685.451.108.976;
Paraguay;PRY;América del Sur;6780744;6618695;6177950;5768613;5123819;4059195;3078912;2408787;406752;16,6705;1,0115;0,09;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;320.181.698.067.724;882.775.676.114.387;135.533.724.347.989;-41.784.735.631.924;982.341.463.295.111;150.345.764.723.987;-214.847.789.745.059;
Ribera Occidental y Gaza;PSE;Asia;5250072;5019401;4484614;3992278;3139954;2124609;1453620;1118241;6220;844,063;1,0227;0,07;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;-108.631.881.105.429;306.565.425.625.401;137.258.508.832.343;-134.963.869.730.477;
Polinesia Francesa;PYF;Oceania;306279;301920;291787;283788;250927;211089;163591;117891;4167;73,5011;1,0074;0;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;-189.730.657.577.832;-260.352.098.496.665;-201.322.615.570.059;155.597.283.063.771;-522.413.277.159.343;276.837.826.260.146;-106.566.971.383.148;
Qatar;QAT;Asia;2695122;2760385;2414573;1713504;645937;441675;277450;118007;11586;232,6189;1,0026;0,03;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;;12.387.494.904.147;-392.809.919.619.101;-200.500.947.877.522;
Rumania;ROU;Europa;19659267;19442038;19906079;20335211;21919876;22836234;22125224;19922618;238391;82,4665;1,0171;0,25;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;259.397.523.199.067;-332.875.036.446.971;364.655.356.590.626;-314.554.156.129.175;
Federación de Rusia;RUS;Europa;144713314;145617329;144668389;143242599;146844839;148005704;138257420;130093010;17098242;8,4636;0,9973;1,81;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;-316.283.597.296.696;104.637.091.559.227;445.309.639.834.757;-218.388.547.157.608;-246.115.141.544.522;
Rwanda;RWA;Africa;13776698;13146362;11642959;10309031;8109989;7319962;5247532;3896367;26338;523,0731;1,0234;0,17;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;277.793.606.427.721;535.642.829.110.546;-477.249.398.799.357;702.928.178.028.787;457.249.153.015.715;62.903.248.206.517;-564.752.259.259.753;
Arabia Saudita;SAU;Asia;36408820;35997107;32749848;29411929;21547390;16004763;10171710;6106191;2149690;16,9368;1,0128;0,46;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;518.571.463.004.108;0.565913288623079;105.040.303.650.573;298.946.092.840.893;172.482.532.476.839;212.189.744.819.959;-458.971.090.039.694;
Sudán;SDN;Africa;46874204;44440486;38171178;33739933;26298773;21090886;16673586;11305206;1886068;24,8529;1,0267;0,59;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;31.801.259.948.041;-236.708.173.761.201;-699.314.223.888.373;329.817.914.044.712;0.806213762462463;-120.799.806.155.449;-625.022.807.906.741;
Senegal;SEN;Africa;17316449;16436119;14356181;12530121;9704287;7536001;5703869;4367744;196722;88,025;1,0261;0,22;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;540.826.746.687.169;144.643.886.625.595;-356.701.824.622.392;147.078.068.161.998;0.625915167183067;350.805.418.581.042;-13.582.757.078.013;
Singapur;SGP;Asia;5975689;5909869;5650018;5163590;4053602;3022209;2400729;2061831;710;8.416,46;1,0058;0,07;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;121.840.230.638.021;872.460.740.268.357;563.184.802.412.309;716.598.820.156.491;125.085.215.498.552;176.232.468.638.902;-38.436.564.563.571;
Islas Salomón;SLB;Oceania;724273;691191;612660;540394;429978;324171;233668;172833;28896;25,0648;1,0232;0,01;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;-0.830018724544004;-164.199.848.866.935;715.830.977.501.489;-0.860529804071021;-5.646.280.663.101;
Sierra Leona;SLE;Africa;8605718;8233969;7314773;6436698;4584067;4325388;3367477;2778557;71740;119,957;1,022;0,11;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;65.229.508.156.204;274.366.161.606.525;-0.62175054246768;411.855.278.938.924;245.194.550.781.056;-224.884.483.581.693;-419.700.150.136.609;
El Salvador;SLV;Norteamérica;6336392;6292731;6231066;6114034;5958482;5367179;4508992;3619090;21041;301,145;1,0035;0,08;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;0.469594269921259;-172.545.368.744.448;295.089.341.881.634;0.540163417461017;172.634.622.714.864;204.601.626.752.148;-835.982.023.774.503;
San Marino;SMR;Europa;33660;34007;33570;31608;26823;23132;21346;18169;61;551,8033;0,9975;0;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;0.583243559444171;-711.551.372.737.081;173.997.852.803.099;-617.850.136.533.582;
Somalia;SOM;Africa;17597511;16537016;13763906;12026649;8721465;6999096;5892224;3720977;637657;27,5971;1,0312;0,22;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;189.158.896.199.311;-117.855.310.982.384;-0.973387623094865;;;112.494.307.806.725;-0.954716484010831;
Serbia;SRB;Europa;7221365;7358005;7519496;7653748;7935022;7987529;7777010;7193533;88361;81,7257;0,9897;0,09;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;647.147.291.411.601;113.680.433.834.465;231.101.588.882.194;-0.2409239589782;
Sudán del Sur;SSD;Africa;10913164;10606227;11194299;9714419;6114440;4750817;4192011;3342410;619745;17,6091;1,0153;0,14;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;;0.224489690813229;-106.420.744.058.549;;
Santo Tomé y Príncipe;STP;Africa;227380;218641;201124;182138;143714;120343;97210;77583;964;235,8714;1,0192;0;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;;432.346.410.287.829;203.743.719.665.277;111.996.010.448.981;
Suriname;SUR;América del Sur;618040;607065;575475;546080;478998;412756;375112;379918;163820;3,7727;1,0082;0,01;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;-0.624954331916271;-825.296.338.163.555;-551.710.938.235.234;0.279669784025444;399.538.233.865.444;-438.340.501.137.017;-16.911.412.073.134;
